Date,Open,High,Low,Close ,Adj Close ,Volume
6/24/2025,0.164248,0.164423,0.162286,0.163182,0.163182,1348810368
6/22/2025,0.154197,0.157249,0.143774,0.151322,0.151322,1841758169
6/21/2025,0.162475,0.164233,0.15178,0.154169,0.154169,813191920
6/20/2025,0.170961,0.171881,0.158867,0.162475,0.162475,1099193747
6/19/2025,0.170633,0.171847,0.167936,0.170963,0.170963,542107459
6/18/2025,0.169668,0.172061,0.164379,0.170632,0.170632,970407002
6/17/2025,0.172697,0.175895,0.164303,0.169668,0.169668,1273076742
6/16/2025,0.175669,0.181015,0.172698,0.172698,0.172698,1204577500
6/15/2025,0.178467,0.178576,0.171758,0.175669,0.175669,760010233
6/14/2025,0.180382,0.180442,0.174978,0.178467,0.178467,777784368
6/13/2025,0.181548,0.181548,0.170792,0.18038,0.18038,1883491191
6/12/2025,0.193011,0.193619,0.180532,0.181548,0.181548,1254786513
6/11/2025,0.198282,0.204332,0.191594,0.193011,0.193011,1630500550
6/10/2025,0.194933,0.1983,0.189887,0.198282,0.198282,1400212022
6/9/2025,0.184173,0.195425,0.180454,0.194933,0.194933,1177667689
6/8/2025,0.185168,0.186751,0.181223,0.184173,0.184173,689923176
6/7/2025,0.17897,0.188573,0.178034,0.185168,0.185168,836264651
6/6/2025,0.171627,0.184253,0.170184,0.178973,0.178973,1247591143
6/5/2025,0.188237,0.192376,0.169233,0.171628,0.171628,1718819551
6/4/2025,0.193139,0.19691,0.187427,0.188236,0.188236,779255975
6/3/2025,0.195396,0.200251,0.19219,0.193138,0.193138,1062603805
6/2/2025,0.193632,0.196065,0.188872,0.19539,0.19539,1007324701
6/1/2025,0.192578,0.19478,0.187268,0.193632,0.193632,939280532
5/31/2025,0.193442,0.195352,0.186063,0.192579,0.192579,1529424800
5/30/2025,0.214837,0.2163,0.192135,0.193436,0.193436,2466944860
5/29/2025,0.220782,0.227834,0.214583,0.214833,0.214833,1561923823
5/28/2025,0.226161,0.227657,0.217216,0.220782,0.220782,1203668237
5/27/2025,0.22603,0.232007,0.22011,0.226164,0.226164,1406054690
5/26/2025,0.224983,0.230275,0.22301,0.226025,0.226025,1172026172
5/25/2025,0.225297,0.226271,0.216231,0.224984,0.224984,1528958070
5/24/2025,0.224814,0.230362,0.224054,0.225297,0.225297,1223553027
5/23/2025,0.245028,0.253617,0.223778,0.224814,0.224814,3466192197
5/22/2025,0.234068,0.245439,0.234064,0.245028,0.245028,2739121621
5/21/2025,0.226127,0.237583,0.223293,0.234058,0.234058,2813244924
5/20/2025,0.224421,0.230327,0.218046,0.226126,0.226126,1815889701
5/19/2025,0.233961,0.235143,0.214545,0.224421,0.224421,2122215648
5/18/2025,0.214698,0.237157,0.214378,0.234181,0.234181,2360198976
5/17/2025,0.221287,0.222045,0.211488,0.214698,0.214698,1499656753
5/16/2025,0.219194,0.230296,0.218316,0.221287,0.221287,1759584218
5/15/2025,0.232807,0.236437,0.214923,0.219189,0.219189,2477683429
5/14/2025,0.241215,0.246769,0.228742,0.232808,0.232808,2249826077
5/13/2025,0.231002,0.242899,0.218023,0.241215,0.241215,2734212256
5/12/2025,0.231509,0.251541,0.222185,0.231002,0.231002,4628696012
5/11/2025,0.248682,0.258739,0.22358,0.231508,0.231508,3518175098
5/10/2025,0.205295,0.24911,0.20361,0.248689,0.248689,3238796872
5/9/2025,0.197581,0.212635,0.193339,0.20529,0.20529,2387581238
5/8/2025,0.17201,0.197939,0.171893,0.197577,0.197577,1943565536
5/7/2025,0.172115,0.174063,0.169481,0.172007,0.172007,677248571
5/6/2025,0.170604,0.172402,0.164398,0.172116,0.172116,831221260
5/5/2025,0.170552,0.174538,0.168666,0.170604,0.170604,689655044
5/4/2025,0.175757,0.177264,0.170171,0.170552,0.170552,626186290
5/3/2025,0.181577,0.182053,0.175508,0.175757,0.175757,577738365
5/2/2025,0.180766,0.184082,0.17944,0.181577,0.181577,1008214455
5/1/2025,0.172341,0.18329,0.172294,0.180759,0.180759,1018176528
4/30/2025,0.17464,0.17635,0.167269,0.17234,0.17234,970750123
4/29/2025,0.178952,0.180541,0.172795,0.174636,0.174636,966758883
4/28/2025,0.179673,0.182672,0.174373,0.178952,0.178952,1345897366
4/27/2025,0.181891,0.183145,0.177003,0.179672,0.179672,1113159755
4/26/2025,0.181832,0.192443,0.180411,0.18189,0.18189,1467785872
4/25/2025,0.18246,0.186035,0.17812,0.18183,0.18183,1731253893
4/24/2025,0.178605,0.183145,0.170261,0.182457,0.182457,1479272164
4/23/2025,0.178652,0.185022,0.175658,0.178605,0.178605,1860794550
4/22/2025,0.159387,0.179371,0.157954,0.178648,0.178648,1568128902
4/21/2025,0.155184,0.162934,0.15514,0.159388,0.159388,1038358279
4/20/2025,0.157333,0.159283,0.152745,0.155184,0.155184,637644889
4/19/2025,0.157618,0.160556,0.156523,0.157333,0.157333,477710096
4/18/2025,0.155741,0.15877,0.153774,0.157616,0.157616,477534244
4/17/2025,0.154691,0.159351,0.153181,0.15574,0.15574,586169227
4/16/2025,0.153547,0.157003,0.150944,0.154688,0.154688,823568608
4/15/2025,0.158503,0.161061,0.153258,0.15355,0.15355,777400544
4/14/2025,0.162792,0.168641,0.157689,0.158501,0.158501,988651639
4/13/2025,0.167611,0.168489,0.16132,0.162792,0.162792,874509965
4/12/2025,0.160089,0.169334,0.157877,0.167611,0.167611,867802910
4/11/2025,0.153668,0.16214,0.153363,0.160089,0.160089,864574135
4/10/2025,0.160371,0.160377,0.149419,0.153666,0.153666,1231567926
4/9/2025,0.142109,0.164026,0.13672,0.160371,0.160371,2265462273
4/8/2025,0.14952,0.156727,0.141514,0.142107,0.142107,1829881699
4/7/2025,0.148845,0.1526,0.131507,0.149521,0.149521,3512035481
4/6/2025,0.169027,0.169769,0.146452,0.148845,0.148845,1267445532
4/5/2025,0.171098,0.171413,0.166378,0.169027,0.169027,607481980
4/4/2025,0.162059,0.172579,0.16043,0.171098,0.171098,1645454216
4/3/2025,0.164195,0.16724,0.155735,0.16206,0.16206,1201472795
4/2/2025,0.174086,0.178698,0.162409,0.164195,0.164195,1734215164
4/1/2025,0.166716,0.175145,0.166215,0.174086,0.174086,1149373221
3/31/2025,0.166319,0.168212,0.160492,0.166715,0.166715,1321114553
3/30/2025,0.169571,0.17221,0.164974,0.166319,0.166319,831596449
3/29/2025,0.180191,0.182207,0.166583,0.169565,0.169565,1120659030
3/28/2025,0.190495,0.192581,0.177484,0.18019,0.18019,1407200953
3/27/2025,0.194798,0.200384,0.188312,0.190495,0.190495,1282332601
3/26/2025,0.190908,0.205379,0.189852,0.194798,0.194798,2068603477
3/25/2025,0.18289,0.19335,0.181283,0.19091,0.19091,1549790934
3/24/2025,0.172247,0.188946,0.170879,0.182889,0.182889,1472602266
3/23/2025,0.167342,0.172253,0.16718,0.172253,0.172253,564898047
3/22/2025,0.167068,0.169546,0.166804,0.167343,0.167343,438263314
3/21/2025,0.169351,0.171401,0.164959,0.167062,0.167062,743835419
3/20/2025,0.17807,0.179006,0.167042,0.169351,0.169351,959535286
3/19/2025,0.168029,0.178517,0.167004,0.178065,0.178065,1238919491
3/18/2025,0.173472,0.173472,0.163237,0.168029,0.168029,1046683878
3/17/2025,0.168233,0.175992,0.168193,0.173465,0.173465,1002401452
3/16/2025,0.176067,0.176699,0.166227,0.168235,0.168235,935490545
3/15/2025,0.171765,0.177612,0.171561,0.176068,0.176068,731309597
3/14/2025,0.165065,0.175702,0.164927,0.171799,0.171799,1042050428
3/13/2025,0.172381,0.172711,0.162095,0.165065,0.165065,1437934838
3/12/2025,0.164155,0.172513,0.159791,0.172381,0.172381,1618464957
3/11/2025,0.154058,0.168317,0.14535,0.164166,0.164166,2372945325
3/10/2025,0.167803,0.180283,0.151364,0.15406,0.15406,2202314258
3/9/2025,0.192171,0.193997,0.166287,0.167803,0.167803,1797791194
3/8/2025,0.197973,0.200669,0.191506,0.192172,0.192172,949946399
3/7/2025,0.201727,0.208331,0.191547,0.197973,0.197973,1829178903
3/6/2025,0.204719,0.219231,0.199566,0.201727,0.201727,1799078197
3/5/2025,0.199143,0.205957,0.196583,0.20472,0.20472,1433656840
3/4/2025,0.199082,0.201629,0.183734,0.199146,0.199146,2366639397
3/3/2025,0.239259,0.239653,0.194282,0.199076,0.199076,2824331185
3/2/2025,0.206537,0.24167,0.201905,0.239267,0.239267,3319886568
3/1/2025,0.201963,0.208697,0.199463,0.206537,0.206537,1197948866
2/28/2025,0.206823,0.206859,0.181876,0.201963,0.201963,2620914147
2/27/2025,0.202853,0.211239,0.201255,0.206824,0.206824,1369944972
2/26/2025,0.211268,0.213502,0.196364,0.205541,0.205541,2020402428
2/25/2025,0.210373,0.213921,0.196764,0.212389,0.212389,3432761745
2/24/2025,0.243022,0.243828,0.208322,0.210359,0.210359,2239353273
2/23/2025,0.246724,0.247435,0.240655,0.243023,0.243023,707579811
2/22/2025,0.239314,0.247665,0.23834,0.246723,0.246723,932077730
2/21/2025,0.254858,0.260931,0.234919,0.239308,0.239308,2024664109
2/20/2025,0.254767,0.25746,0.250512,0.25486,0.25486,1119395680
2/19/2025,0.250903,0.255223,0.249278,0.254768,0.254768,1007520306
2/18/2025,0.258148,0.259394,0.242603,0.250901,0.250901,1601424562
2/17/2025,0.265758,0.268499,0.254484,0.258148,0.258148,1369340298
2/16/2025,0.271726,0.273816,0.264238,0.26574,0.26574,969472255
2/15/2025,0.271932,0.282679,0.268941,0.271724,0.271724,1624562147
2/14/2025,0.262491,0.285293,0.26121,0.271929,0.271929,2320487584
2/13/2025,0.26413,0.266918,0.25405,0.262492,0.262492,1492303517
2/12/2025,0.253123,0.26703,0.248891,0.264122,0.264122,1949247514
2/11/2025,0.255264,0.269233,0.249031,0.253122,0.253122,1721245015
2/10/2025,0.249289,0.255925,0.242061,0.25526,0.25526,1342589439
2/9/2025,0.253265,0.259836,0.240306,0.24929,0.24929,1242077795
2/8/2025,0.246613,0.25395,0.244992,0.253266,0.253266,989182891
2/7/2025,0.248079,0.261217,0.239544,0.246613,0.246613,2042225149
2/6/2025,0.256233,0.265695,0.243942,0.248084,0.248084,1892595490
2/5/2025,0.264128,0.269028,0.254372,0.256233,0.256233,1818131454
2/4/2025,0.285016,0.288467,0.256292,0.264144,0.264144,4306969827
2/3/2025,0.26751,0.292464,0.21172,0.285004,0.285004,11007373557
2/2/2025,0.308377,0.314589,0.254555,0.267509,0.267509,5607210222
2/1/2025,0.328727,0.331894,0.304264,0.308357,0.308357,1577548524
1/31/2025,0.331507,0.340677,0.324313,0.328728,0.328728,1796042122
1/30/2025,0.323871,0.338084,0.322871,0.331509,0.331509,1365524939
1/29/2025,0.319074,0.333509,0.317941,0.323864,0.323864,1981300959
1/28/2025,0.333818,0.338646,0.315835,0.319074,0.319074,2019292120
1/27/2025,0.336323,0.336741,0.30781,0.333822,0.333822,4453314117
1/26/2025,0.353785,0.357023,0.336301,0.336326,0.336326,1263299832
1/25/2025,0.350745,0.359588,0.34596,0.353776,0.353776,1500843148
1/24/2025,0.352302,0.363893,0.343288,0.35074,0.35074,2122786422
1/23/2025,0.36298,0.364087,0.342993,0.352353,0.352353,3093003294
1/22/2025,0.371588,0.373342,0.355989,0.363056,0.363056,2940097446
1/21/2025,0.354573,0.40017,0.335899,0.371577,0.371577,9507969594
1/20/2025,0.357739,0.384973,0.347247,0.354608,0.354608,8850825869
1/19/2025,0.396085,0.408965,0.35212,0.357757,0.357757,9531626101
1/18/2025,0.415913,0.433512,0.387239,0.396081,0.396081,7331618418
1/17/2025,0.376706,0.420501,0.375973,0.415939,0.415939,6276540245
1/16/2025,0.385713,0.389349,0.368461,0.376748,0.376748,4097841421
1/15/2025,0.35612,0.387354,0.348744,0.38571,0.38571,4079184871
1/14/2025,0.338297,0.361091,0.336058,0.35612,0.35612,3143614167
1/13/2025,0.335956,0.345214,0.311399,0.338299,0.338299,3713750868
1/12/2025,0.34095,0.342989,0.332278,0.335959,0.335959,1436724129
1/11/2025,0.333979,0.347811,0.330075,0.340955,0.340955,1461005907
1/10/2025,0.320909,0.338534,0.320891,0.333981,0.333981,3222794655
1/9/2025,0.342247,0.346286,0.315103,0.320912,0.320912,3614560190
1/8/2025,0.348436,0.355111,0.32681,0.342248,0.342248,4416730765
1/7/2025,0.387952,0.397808,0.348422,0.348437,0.348437,5280516863
1/6/2025,0.382494,0.393702,0.376551,0.387957,0.387957,2937148475
1/5/2025,0.394746,0.397305,0.376316,0.382563,0.382563,2594267525
1/4/2025,0.379283,0.397997,0.378043,0.394746,0.394746,4431717187
1/3/2025,0.33861,0.387797,0.335886,0.379279,0.379279,4823481336
1/2/2025,0.324306,0.344178,0.324292,0.33861,0.33861,3205163576
1/1/2025,0.315682,0.326478,0.311723,0.324306,0.324306,1532271286
12/31/2024,0.313518,0.327866,0.309403,0.315681,0.315681,2204579838
12/30/2024,0.31432,0.32248,0.306547,0.313514,0.313514,2526977895
12/29/2024,0.323917,0.328933,0.311667,0.31432,0.31432,1654780626
12/28/2024,0.311056,0.325858,0.311056,0.323919,0.323919,1410132054
12/27/2024,0.312255,0.323847,0.309764,0.311036,0.311036,2157162506
12/26/2024,0.334304,0.337381,0.308998,0.312256,0.312256,2514756816
12/25/2024,0.336926,0.341366,0.326899,0.334319,0.334319,2538802504
12/24/2024,0.324218,0.339434,0.316393,0.336924,0.336924,3138423654
12/23/2024,0.312199,0.327882,0.303278,0.324219,0.324219,4390431993
12/22/2024,0.320904,0.324032,0.305718,0.312192,0.312192,4115525341
12/21/2024,0.317719,0.349406,0.315249,0.320951,0.320951,6875286934
12/20/2024,0.315054,0.328057,0.26444,0.317713,0.317713,11414899319
12/19/2024,0.358047,0.367036,0.302769,0.315066,0.315066,9565836573
12/18/2024,0.394341,0.396163,0.356494,0.358039,0.358039,5749656033
12/17/2024,0.401935,0.409899,0.391596,0.394337,0.394337,3618256203
12/16/2024,0.406295,0.413594,0.392736,0.401934,0.401934,3891164219
12/15/2024,0.397972,0.409835,0.392909,0.406272,0.406272,2654366167
12/14/2024,0.409081,0.412754,0.388139,0.397976,0.397976,3165759137
12/13/2024,0.406548,0.411687,0.399862,0.409081,0.409081,3815608761
12/12/2024,0.414495,0.423359,0.401744,0.406548,0.406548,5601004925
12/11/2024,0.394512,0.418788,0.376633,0.414492,0.414492,6670843571
12/10/2024,0.414722,0.422407,0.36684,0.39452,0.39452,11257345383
12/9/2024,0.467299,0.467299,0.384721,0.414719,0.414719,11830538830
12/8/2024,0.453891,0.48351,0.44824,0.467297,0.467297,8171222257
12/7/2024,0.435712,0.466039,0.432128,0.453887,0.453887,8127914572
12/6/2024,0.427894,0.441782,0.42126,0.435709,0.435709,6668459793
12/5/2024,0.431903,0.463404,0.409011,0.430586,0.430586,15284058219
12/4/2024,0.407851,0.435626,0.401959,0.431957,0.431957,8065078709
12/3/2024,0.424672,0.428049,0.391472,0.407882,0.407882,9362620939
12/2/2024,0.440049,0.460245,0.405112,0.42467,0.42467,13072433718
12/1/2024,0.421968,0.449281,0.417694,0.440023,0.440023,8333397829
11/30/2024,0.425839,0.434701,0.415361,0.421971,0.421971,5601447294
11/29/2024,0.402019,0.437086,0.399992,0.425839,0.425839,6768739922
11/28/2024,0.401515,0.427305,0.392259,0.402018,0.402018,5955119388
11/27/2024,0.387615,0.408052,0.381691,0.401525,0.401525,6388400976
11/26/2024,0.393311,0.408372,0.367319,0.387618,0.387618,8847260920
11/25/2024,0.429895,0.437042,0.381515,0.39334,0.39334,9773285006
11/24/2024,0.430012,0.452428,0.400967,0.429882,0.429882,12213185937
11/23/2024,0.412924,0.47746,0.405566,0.430012,0.430012,20873625275
11/22/2024,0.387626,0.419192,0.38152,0.412924,0.412924,13591947495
11/21/2024,0.377497,0.394944,0.370012,0.387617,0.387617,8052510566
11/20/2024,0.39134,0.395599,0.366569,0.377497,0.377497,8029529786
11/19/2024,0.37174,0.418334,0.36802,0.391356,0.391356,12889618537
11/18/2024,0.36657,0.379906,0.359235,0.371741,0.371741,8396330143
11/17/2024,0.36375,0.373558,0.341699,0.36656,0.36656,7832273719
11/16/2024,0.37919,0.389879,0.361303,0.363748,0.363748,7524229950
11/15/2024,0.361713,0.384246,0.354469,0.379189,0.379189,11623194182
11/14/2024,0.399523,0.414704,0.355808,0.361646,0.361646,15564516841
11/13/2024,0.382218,0.431624,0.356609,0.399523,0.399523,28286313456
11/12/2024,0.349521,0.435863,0.333432,0.382221,0.382221,39936467957
11/11/2024,0.279095,0.349602,0.276142,0.349521,0.349521,19590715363
11/10/2024,0.218794,0.296614,0.217302,0.279095,0.279095,14901681717
11/9/2024,0.202131,0.219737,0.197825,0.218761,0.218761,4290391407
11/8/2024,0.193159,0.206564,0.191289,0.202132,0.202132,4089504352
11/7/2024,0.196658,0.203478,0.186255,0.193159,0.193159,4338342915
11/6/2024,0.170188,0.213336,0.169694,0.196658,0.196658,12194137333
11/5/2024,0.158345,0.17884,0.158179,0.17018,0.17018,4095671194
11/4/2024,0.151454,0.159894,0.148581,0.158346,0.158346,2541759238
11/3/2024,0.159316,0.159627,0.142823,0.151454,0.151454,2214868458
11/2/2024,0.159189,0.163298,0.156035,0.159316,0.159316,1342216649
11/1/2024,0.161372,0.168242,0.15442,0.159185,0.159185,2406203136
10/31/2024,0.168146,0.172997,0.156546,0.161372,0.161372,2213630995
10/30/2024,0.175839,0.177535,0.16525,0.168146,0.168146,2319205433
10/29/2024,0.161152,0.179227,0.160826,0.175839,0.175839,3785378330
10/28/2024,0.144311,0.16201,0.141176,0.16115,0.16115,3078140199
10/27/2024,0.137357,0.145857,0.136057,0.144312,0.144312,1129296560
10/26/2024,0.131013,0.137831,0.130839,0.137357,0.137357,947921669
10/25/2024,0.141988,0.1424,0.128548,0.131013,0.131013,1458877964
10/24/2024,0.139901,0.143502,0.13645,0.141987,0.141987,1349772912
10/23/2024,0.139511,0.140604,0.133279,0.138497,0.138497,1430747359
